Id,Category
0,0
1,2
2,3
3,1
4,1
5,0
6,0
7,3
8,2
9,0
10,3
11,1
12,0
13,3
14,1
15,2
16,0
17,2
18,0
19,2
20,4
21,1
22,3
23,0
24,2
25,2
26,2
27,1
28,1
29,4
30,0
31,2
32,0
33,2
34,4
35,2
36,0
37,0
38,1
39,0
40,1
41,3
42,4
43,2
44,4
45,1
46,4
47,2
48,1
49,3
50,3
51,3
52,2
53,1
54,2
55,2
56,4
57,1
58,3
59,1
60,3
61,2
62,0
63,0
64,4
65,0
66,2
67,1
68,4
69,4
70,4
71,3
72,0
73,2
74,4
75,2
76,0
77,0
78,0
79,2
80,1
81,2
82,4
83,0
84,2
85,3
86,2
87,3
88,2
89,1
90,4
91,0
92,0
93,4
94,1
95,3
96,0
97,2
98,1
99,4
100,0
101,0
102,3
103,4
104,1
105,4
106,0
107,2
108,1
109,2
110,1
111,1
112,0
113,0
114,0
115,2
116,3
117,4
118,3
119,1
120,4
121,4
122,2
123,3
124,3
125,2
126,1
127,1
128,1
129,3
130,1
131,2
132,2
133,0
134,2
135,2
136,4
137,4
138,2
139,1
140,1
141,1
142,4
143,0
144,2
145,1
146,1
147,3
148,2
149,4
150,2
151,3
152,4
153,1
154,1
155,0
156,4
157,0
158,2
159,4
160,3
161,3
162,1
163,1
164,2
165,4
166,4
167,4
168,4
169,3
170,1
171,2
172,4
173,0
174,0
175,2
176,2
177,4
178,1
179,3
180,3
181,4
182,2
183,3
184,0
185,2
186,1
187,2
188,2
189,3
190,2
191,4
192,0
193,3
194,4
195,1
196,1
197,0
198,4
199,4
200,0
201,0
202,2
203,0
204,4
205,1
206,1
207,3
208,3
209,4
210,4
211,1
212,4
213,2
214,1
215,1
216,1
217,1
218,4
219,3
220,0
221,0
222,2
223,3
224,3
225,3
226,2
227,3
228,3
229,1
230,1
231,2
232,4
233,3
234,0
235,1
236,0
237,1
238,2
239,4
240,0
241,1
242,3
243,3
244,0
245,3
246,2
247,1
248,0
249,4
250,0
251,2
252,1
253,0
254,0
255,1
256,0
257,0
258,1
259,3
260,0
261,4
262,4
263,2
264,3
265,4
266,1
267,2
268,1
269,3
270,0
271,1
272,0
273,2
274,4
275,4
276,4
277,3
278,4
279,0
280,1
281,0
282,0
283,2
284,3
285,2
286,3
287,2
288,0
289,3
290,1
291,0
292,0
293,1
294,4
295,2
296,4
297,4
298,1
299,4
300,3
301,4
302,3
303,0
304,3
305,2
306,4
307,0
308,1
309,2
310,4
311,0
312,1
313,4
314,4
315,2
316,3
317,1
318,4
319,1
320,2
321,1
322,0
323,0
324,2
325,3
326,3
327,3
328,3
329,2
330,2
331,1
332,1
333,4
334,1
335,1
336,2
337,0
338,2
339,3
340,1
341,3
342,4
343,2
344,4
345,0
346,0
347,3
348,1
349,3
350,4
351,1
352,3
353,1
354,2
355,0
356,3
357,1
358,2
359,1
360,3
361,1
362,3
363,1
364,3
365,3
366,1
367,3
368,0
369,0
370,1
371,0
372,4
373,3
374,2
375,0
376,1
377,0
378,2
379,3
380,1
381,3
382,1
383,0
384,2
385,3
386,3
387,2
388,0
389,4
390,4
391,2
392,3
393,2
394,4
395,3
396,3
397,4
398,4
399,0
400,1
401,3
402,4
403,3
404,2
405,2
406,2
407,3
408,0
409,1
410,4
411,0
412,2
413,0
414,2
415,4
416,4
417,0
418,1
419,4
420,2
421,3
422,1
423,2
424,4
425,2
426,1
427,2
428,4
429,3
430,0
431,3
432,4
433,1
434,0
435,0
436,3
437,3
438,3
439,0
440,1
441,1
442,3
443,0
444,0
445,0
446,2
447,2
448,4
449,4
450,1
451,0
452,4
453,4
454,2
455,3
456,1
457,2
458,1
459,0
460,3
461,0
462,3
463,2
464,4
465,0
466,0
467,4
468,2
469,3
470,4
471,1
472,0
473,2
474,3
475,1
476,4
477,2
478,2
479,3
480,3
481,2
482,0
483,4
484,4
485,0
486,4
487,4
488,1
489,3
490,4
491,3
492,1
493,3
494,4
495,3
496,4
497,2
498,3
499,1
500,3
501,2
502,2
503,0
504,2
505,0
506,4
507,1
508,4
509,3
510,0
511,1
512,2
513,2
514,1
515,4
516,1
517,0
518,2
519,4
520,2
521,0
522,0
523,0
524,1
525,2
526,0
527,3
528,3
529,1
530,0
531,4
532,2
533,0
534,2
535,3
536,1
537,1
538,1
539,0
540,0
541,4
542,4
543,2
544,3
545,3
546,1
547,3
548,1
549,2
550,1
551,2
552,0
553,1
554,1
555,1
556,3
557,3
558,1
559,4
560,1
561,3
562,1
563,1
564,2
565,0
566,1
567,4
568,2
569,3
570,2
571,2
572,1
573,3
574,2
575,4
576,4
577,3
578,1
579,4
580,4
581,1
582,2
583,2
584,1
585,1
586,2
587,0
588,3
589,2
590,3
591,1
592,2
593,3
594,2
595,2
596,2
597,1
598,2
599,3
600,0
601,4
602,0
603,2
604,0
605,4
606,2
607,1
608,1
609,2
610,1
611,2
612,0
613,4
614,1
615,3
616,4
617,3
618,4
619,4
620,0
621,3
622,0
623,0
624,3
625,4
626,4
627,0
628,0
629,1
630,0
631,4
632,0
633,0
634,2
635,2
636,3
637,4
638,3
639,0
640,1
641,2
642,4
643,3
644,2
645,1
646,0
647,2
648,4
649,0
650,1
651,0
652,3
653,4
654,3
655,0
656,1
657,0
658,4
659,2
660,1
661,3
662,1
663,0
664,4
665,1
666,4
667,0
668,1
669,2
670,3
671,1
672,3
673,2
674,2
675,4
676,4
677,2
678,0
679,0
680,0
681,3
682,0
683,4
684,4
685,3
686,4
687,1
688,2
689,4
690,3
691,0
692,2
693,4
694,4
695,4
696,1
697,1
698,1
699,2
700,2
701,1
702,3
703,3
704,0
705,2
706,1
707,4
708,4
709,4
710,4
711,1
712,1
713,2
714,0
715,3
716,2
717,0
718,1
719,1
720,3
721,4
722,1
723,3
724,2
725,4
726,4
727,3
728,1
729,3
730,0
731,2
732,4
733,1
734,2
735,4
736,2
737,2
738,3
739,2
740,3
741,0
742,2
743,1
744,1
745,2
746,2
747,2
748,2
749,3
750,2
751,0
752,3
753,0
754,3
755,2
756,4
757,2
758,0
759,3
760,4
761,0
762,4
763,0
764,1
765,3
766,4
767,0
768,4
769,0
770,3
771,2
772,3
773,2
774,4
775,2
776,3
777,0
778,2
779,3
780,1
781,2
782,3
783,3
784,4
785,0
786,3
787,2
788,0
789,4
790,1
791,0
792,2
793,0
794,1
795,4
796,2
797,1
798,4
799,0
800,2
801,0
802,0
803,2
804,0
805,0
806,4
807,0
808,4
809,1
810,3
811,1
812,2
813,0
814,1
815,0
816,2
817,2
818,3
819,1
820,3
821,0
822,4
823,3
824,3
825,3
826,1
827,4
828,4
829,2
830,1
831,2
832,1
833,4
834,4
835,2
836,0
837,1
838,2
839,1
840,2
841,1
842,0
843,4
844,3
845,1
846,1
847,3
848,2
849,1
850,4
851,4
852,3
853,3
854,0
855,1
856,1
857,4
858,0
859,4
860,1
861,3
862,4
863,0
864,1
865,1
866,1
867,4
868,2
869,1
870,2
871,4
872,2
873,3
874,3
875,3
876,1
877,1
878,3
879,3
880,4
881,0
882,2
883,0
884,3
885,0
886,4
887,2
888,3
889,0
890,2
891,4
892,1
893,2
894,2
895,3
896,1
897,4
898,4
899,3
900,1
901,4
902,4
903,2
904,0
905,0
906,2
907,4
908,1
909,3
910,1
911,0
912,4
913,3
914,0
915,0
916,3
917,0
918,3
919,1
920,3
921,1
922,2
923,3
924,3
925,3
926,0
927,1
928,1
929,4
930,1
931,2
932,1
933,4
934,2
935,2
936,0
937,4
938,4
939,3
940,1
941,1
942,3
943,2
944,2
945,2
946,4
947,3
948,2
949,2
950,3
951,0
952,4
953,1
954,0
955,4
956,0
957,0
958,3
959,3
960,1
961,1
962,2
963,1
964,1
965,2
966,4
967,0
968,0
969,2
970,3
971,2
972,3
973,1
974,1
975,2
976,1
977,3
978,2
979,4
980,0
981,2
982,0
983,4
984,0
985,0
986,3
987,2
988,4
989,0
990,3
991,2
992,2
993,2
994,2
995,2
996,1
997,3
998,1
999,0
1000,1
1001,1
1002,4
1003,0
1004,4
1005,1
1006,4
1007,0
1008,0
1009,2
1010,2
1011,3
1012,4
1013,0
1014,0
1015,3
1016,3
1017,4
1018,3
1019,3
1020,2
1021,1
1022,4
1023,0
1024,1
1025,1
1026,0
1027,3
1028,0
1029,0
1030,1
1031,2
1032,1
1033,0
1034,1
1035,2
1036,3
1037,2
1038,2
1039,4
1040,3
1041,1
1042,4
1043,3
1044,1
1045,4
1046,0
1047,4
1048,2
1049,0
1050,1
1051,1
1052,1
1053,3
1054,0
1055,3
1056,2
1057,4
1058,4
1059,4
1060,3
1061,3
1062,1
1063,4
1064,0
1065,2
1066,0
1067,0
1068,3
1069,2
1070,1
1071,1
1072,0
1073,1
1074,4
1075,3
1076,1
1077,2
1078,4
1079,4
1080,1
1081,1
1082,3
1083,0
1084,4
1085,3
1086,2
1087,3
1088,1
1089,1
1090,1
1091,0
1092,1
1093,3
1094,1
1095,3
1096,4
1097,2
1098,3
1099,4
1100,3
1101,2
1102,3
1103,4
1104,0
1105,4
1106,1
1107,1
1108,2
1109,1
1110,4
1111,2
1112,3
1113,1
1114,3
1115,3
1116,1
1117,3
1118,2
1119,0
1120,1
1121,4
1122,4
1123,0
1124,2
1125,1
1126,3
1127,4
1128,2
1129,4
1130,3
1131,1
1132,2
1133,0
1134,3
1135,0
1136,2
1137,0
1138,0
1139,4
1140,4
1141,1
1142,1
1143,2
1144,0
1145,0
1146,2
1147,1
1148,1
1149,2
1150,3
1151,0
1152,2
1153,3
1154,1
1155,2
1156,0
1157,0
1158,2
1159,4
1160,0
1161,4
1162,0
1163,4
1164,3
1165,2
1166,1
1167,4
1168,3
1169,1
1170,2
1171,3
1172,1
1173,4
1174,3
1175,4
1176,4
1177,2
1178,2
1179,2
1180,2
1181,2
1182,4
1183,4
1184,1
1185,3
1186,3
1187,4
1188,2
1189,0
1190,2
1191,2
1192,0
1193,3
1194,3
1195,4
1196,3
1197,1
1198,0
1199,1
1200,4
1201,0
1202,1
1203,2
1204,4
1205,1
1206,3
1207,2
1208,2
1209,1
1210,4
1211,1
1212,2
1213,3
1214,3
1215,0
1216,1
1217,2
1218,2
1219,3
1220,4
1221,2
1222,3
1223,3
1224,4
1225,0
1226,2
1227,4
1228,0
1229,3
1230,3
1231,4
1232,2
1233,1
1234,0
